singer,song name,date,text,poet
"אבי ביטר
",תתבישי,27/07/11,"היתה בינינו אהבה טהורה 
לך נתתי את הכל נערה 
לא שכחתי מעולם את יום הולדתך 
את היית מלכתי, לא חסכתי ממך. 

אך את הלכת בדרך זרה 
נשמתך מכרת לשטן הרע 
שברתי חסכונות, ניסיתי הכל 
מכרתי את רכושי כמה אני יכול 
נותרתי בלי דבר מה כבר הוא העול. 

היו חלומות ורודים ויפים 
בלילות אהבה, בתום נעורים 
בנינו בחול ארמונות זהב 
נשבענו זה לזו כל החיים נאהב. 

אך את הלכת בדרך זרה...",דני שושן
"אבי ביטר
",תגידי מי את,16/04/12,"אני מתחנן עזבי אותי 
רוצה להיות לבד עם גורלי 
פעם אהבתי וזה מספיק 
לא רוצה עוד לאוהב דיי מספיק

אין לי עוד רגשות לאהבות
אני לא מאמין שהם טובות
לא רוצה שתבכי בגללי 
עזבי אותי לבד עם גורלי

אהבתי אהבתי אהבתי מספיק
סבלתי סבלתי וזה לא מצחיק 
ידעתי ידעתי ימים קשים 
בכל אהבות אני לא מאמין 
משסבלתי קשה לי להביט
ידעתי ידעתי ימים קשים 
בכל אהבות אני לא מאמין 
משסבלתי קשה לי להביט

אני מתחנן חכי הכל 
אל תשאירי לי שלא יסבול
אני רוצה לברוח מכל 
עזבי אותי לבד עם גורלי
אין לי עוד רגשות לאהבות 
אני לא מאמין שהם טובים
עזבי אותי לבד עם גורלי 
עזבי אותי לבד עם עצמי 

אהבתי אהבתי אהבתי מספיק
סבלתי סבלתי וזה לא מצחיק 
ידעתי ידעתי ימים קשים 
בכל אהבות אני לא מאמין 
משסבלתי קשה לי להביט
ידעתי ידעתי ימים קשים 
בכל אהבות אני לא מאמין 
משסבלתי קשה לי להביט",אבי ביטר
"אבי ביטר
",שיר השיכורים,19/07/11,"את חושבת שאני המשחק שלך 
את סיפרת לי סיפורים האמנתי לך 
את אמרת שאת אוהבת התאבהתי בך 
לא יודע מה - מה מצאתי בך. 

זה היה הקסם שאותי משך 
הייתי כמו אלכוהוליסט, לנשיקות שלך 
קשרתי ת'גורל שלי בגורל שלך, 
קסם האהבה איך אותי משך 
קסם האהבה אותי משך 

אין לי ארמונות להגשים לך חלומות 
יש לי לב אחד פוחד מאכזבות 
די גמרת עלי לא יכול לחיות 
יש לי רק לב אחד פוחד מאכזבות 

אני אוהב אותך סוכריה שלי 
מאותו מבט ראשון איך כישפת אותי 
די עם הברזים וכל המשחקים 
לא בנוי לאכזבות ולתירוצים. 

זה היה הקסם שאותי משך...",אבי ביטר
"אבי ביטר
",דואט,27/07/11,"לחיוך שלה מתגעגע 
רק איתה הייתי מאושר 
את חיי נתתי לידיה 
עד שיום אחד הכל נגמר 
זה נגמר ולא הבננו 
זה נגמר שעוד אהבנו 

לא היית יפה ממנה 
היא עזבה והיא איננה 
זה לזו הכל היינו 
אלוקים איפה טעינו 

אהבה גדולה היית ביננו 
ונדמה היה שזה חלום 
החלום עבר לו ואיננו 
ונפרדנו בלי לומר שלום 
זה נגמר ולא הבננו 
זה נגמר שעוד אהבנו 

לא היית יפה ממנה...",יוסי גיספן
"אבי ביטר
",שאכטה,04/08/11,"הכאב לא דיבר ושתקתי 
שמרתי בלב את הכל 
הדמעות לא זלגו אך ידעתי 
שאיתך עוד אין לי תקווה 

הלב לא יכל לדבר 
והרגשתי דבר מצמרר 
כשהופעת עם גבר אחר 
רציתי להיות כבר עיוור 

לעולם לא אסלח נשבעתי 
גם אם אבכה ואסבול 
שאת לא כנה ידעתי 
חבל שנתתי הכל 

הפצע עדיין פתוח 
למרות שחלפו השנים 
אהבתי אותך כמו בסרט 
קשה לי עדיין לשכוח 

נשארת בלב חרוטה 
עם צלקת כל כך עמוקה 
זו הייתה אהבה ראשונה 
זה סיפור על אישה שבגדה",אבי ביטר
"אבי ביטר
",צהוב בעיניים,01/08/11,"הכאב לא דיבר ושתקתי 
שמרתי בלב את הכל 
הדמעות לא זלגו אך ידעתי 
שאיתך עוד אין לי תקווה 

הלב לא יכל לדבר 
והרגשתי דבר מצמרר 
כשהופעת עם גבר אחר 
רציתי להיות כבר עיוור 

לעולם לא אסלח נשבעתי 
גם אם אבכה ואסבול 
שאת לא כנה ידעתי 
חבל שנתתי הכל 

הפצע עדיין פתוח 
למרות שחלפו השנים 
אהבתי אותך כמו בסרט 
קשה לי עדיין לשכוח 

נשארת בלב חרוטה 
עם צלקת כל כך עמוקה 
זו הייתה אהבה ראשונה 
זה סיפור על אישה שבגדה 

לעולם לא אסלח...",אבי ביטר
"אבי ביטר
",צהוב בעיניים,27/07/11,"הקשיבי למה שאני אומר אל תתאהבי 
אותך אני שואל למה את בוכה, ספרי לי מה קרה 
אותך אף פעם לא ראיתי מזילה דמעה 
אל תתאהבי לא כדי ילדה 
את הלב שלך לאש אל תזרקי ילדה 

למה את בוכה 
ספרי לי מה קרה 
אותך אף פעם לא ראיתי מזילה דמעה 
אם אש אהבה 
בליבך פגעה 
פעם גם אותי האש הזאת שרפה 
אל תבזבזי את השנים ילדה 
אל תבכי חינם חבל על הדמעה 
פעם גם אני הייתי מאוהב 
כמה שבכיתי הכל היה לשווא... 

אל תתאהבי לא כדאי ילדה 
את הלב שלך לאש אל תזרקי ילדה 
גם אני הייתי פעם מאוהב ילדה 
מהאש הזאת נישרפתי זה כאב נורא 
לא כדי ילדה חבל שתסבלי אל תתאהבי אל תתאהבי 

בך להתאהב אני לא יכול ילדה 
עייפתי כבר לסבול ואין לי אמונה 
אם פעם התאהבתי זה כאב נורא 
כמה שבכיתי איש לא ניגב דמעה... 
אגלה לך סוד ששמור בתוך ליבי 
אהבה אחת היתה לי שפצעה אותי 
אני רוצה לשכוח את כל מה שהיה 
להתאהב עוד פעם אני פוחד נורא 

אל תתאהבי לא כדאי ילדה...",אבי ביטר
"אבי ביטר
",צהוב בנשמה,27/07/11,"אנשים בלי לב לקחו אותך ממני 
אנשים בלי נשמה עקרו אותך מליבי 
טרקו לי בפנים דלת בלי בושה 
איך כבודי נרמס, איזו הרגשה 

באתי לביתך עם כל אהבתי 
כיבדתי את אביך כמו אבא שלי 
נישקתי את ידו השפלתי מבט 
הייתי אמיתי, באושרי בעט 

אלוקים אלוקים הרואה הכל 
נתת גם לקחת - רק אתה יכול 
לב אדם לב אדם לפעמים אכזר 
נותרתי מיותם, אחח מה עלי עבר 

בירכת אותי אל בים של זהב 
שמעת את קולי, זרח עלי כוכב 
הפרתי נדרי רק למענה 
איך יכול לב אדם לקחת לי אותה? 

מה שווים הכתרים בלעדיה אלי? 
השמיים אפורים ובוכים איתי 
אל תיגעו באהבה, אנשים רעים 
זוהי מתנה מהאלוקים 

אלוקים אלוקים הרואה הכל...",דני שושן
"אבי ביטר
",פרפר הלילות,27/07/11,"הטעות שאת עשית אני לא אשכח 
כועס על הגורל שמחייך רק לך 
באהבה הזאת אשכח הכל 
מי את בכלל שאני אסבול 
אין לך כבוד ילדה פגעת לי בנשמה 
יבואו עוד ימים את גם תבכי ילדה 
אין לך כבוד ילדה פגעת לי בנשמה 
יבוא עוד ימים ואת תבכי ילדה 

לא אשכח את היום שהרסת לי את הכל 
את הכאב הזה קשה לסבול 
אל תבקשי סליחה 
אין לך מחילה 
באהבה הזאת היית קללה 
אלוקים ברא אותי והוא יקבע הכל 
מי את בכלל שאני אסבול 

באהבה הזאת רעה כל כך היית 
באהבה הזאת עשית מה שרצית 
צחקת עליי תמיד ליד החברים 
אמרתי לא חשוב יש אלוקים 
אין לך כבוד ילדה פגעת לי בנשמה 
יבואו עוד ימים ואת תבכי ילדה 
אין לך כבוד ילדה פגעת לי בנשמה 
יבואו עוד ימים ואת תבכה 

לא אשכח את היום...",אבי ביטר
"אבי ביטר
",פגישה שבועית,27/07/11,"בואי ניפרד ילדה 
בואי נשכח הכל 
אם נמשיך לאהוב 
אנחנו רק נסבול 

באהבה הזו 
אין לנו מזל 
אני ואת ילדה 
זה לא גורל 

באהבה הזו 
אין לנו מזל 
אני ואת ילדה 
זה לא גורל 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות 

לראות אותך בוכה 
אני לא יכול 
את הכאב הזה 
לא יכול לסבול 

עוד יעברו שנים 
ותשכחי אותי 
כי הגורל שלך 
לא הגורל שלי 

עוד יעברו שנים 
תשכחי אותי 
כי הגורל שלך 
לא הגורל שלי 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות 

אל תבכי ילדה 
חבל על הדמעות 
אין לנו מזל 
באהבה הזאת 
בואי נשכח הכל 
נשרוף את התמונות 
ניסינו את הכל 
לא נשארו תקוות",אבי ביטר
"אבי ביטר
",פגישה שבועית,16/04/12,"איזה לילה לילה לילה 
לילה שיגעון
כל החברים ביחד כאן במועדון
היא רוקדת משתוללת על השולחנות
משגעת את כולם שוברת לבבות

ואני נוטר לקצב שר על הבמה
אך איזה יופי משגע אלוהים ברא

אני משוגע אני משוגע 
מהיופי מהקסם מהחן שבה 
אני משוגע אני משוגע 
מהיופי מהקסם מהחן שלה 

אני מאוהב חביבי 
אני מאוהב חזק
אותה מהלב שלי הגבר לא יבחר
היא שווה את כל הכסף שיש בעולם
אני לך אתה בכל העולם 
היא שווה את כל הכסף שיש בעולם
אני לך אתה בכל העולם 

אני משוגע אני משוגע 
מהיופי מהקסם מהחן שבה 
אני משוגע אני משוגע 
מהיופי מהקסם מהחן שלה 

אני משוגע אני משוגע 
מהיופי מהקסם מהחן שבה 
אני משוגע אני משוגע 
מהיופי מהקסם מהחן שלה",אבי ביטר
